#,Text,Acceptable?,Edge case?,classification
Message 68,Does anyone have notes from the last meeting? I missed it and need to catch up before the next one.,Non-threatening,,Non-threatening
Message 69,Congrats on the promotion!,Non-threatening,,Non-threatening
Message 70,I'm so excited for the event tomorrow! Can't wait to see everyone there and participate in all the activities planned.,Non-threatening,,Non-threatening
Message 71,Here's the link to the presentation. Let me know if you have any questions or need further clarification.,Non-threatening,,Non-threatening
Message 72,Is anyone else having issues with the server?,Non-threatening,,Non-threatening
Message 73,Join us for a Q&A session at 5 PM. We will be discussing the latest features and answering all your questions.,Non-threatening,,Non-threatening
Message 74,That meme was so funny!,Non-threatening,,Non-threatening
Message 75,I'm going to 20 bomb,Non-threatening,****could refer to video games,Non-threatening
Message 76,Check out this cool trick I learned.,Non-threatening,,Non-threatening
Message 77,"Looking for team members for the game. We need a healer and a tank, any volunteers?",Non-threatening,,Non-threatening
Message 78,Looking for people to help me find crowbars to get some action going on january 5+1,Threatening,,Threatening
Message 79,I think the server is back up now.,Non-threatening,,Non-threatening
Message 80,Can't wait for the weekend!,Non-threatening,,Non-threatening
Message 81,That was a close match!,Non-threatening,,Non-threatening
Message 82,Do you have any game recommendations?,Non-threatening,,Non-threatening
Message 83,"I'm planning a BBQ next Saturday. Everyone is welcome, bring your own drinks and let me know if you have any dietary restrictions.",Non-threatening,,Non-threatening
Message 84,Who's available for a call tonight?,Non-threatening,,Non-threatening
Message 85,We must cleanse all the Tutsu,Threatening,,Threatening
Message 86,Anyone interested in a coding challenge?,Non-threatening,,Non-threatening
Message 87,The event starts in 30 minutes. Please make sure to join on time so we can get started without delays.,Non-threatening,,Non-threatening
Message 88,Can you send me the meeting notes?,Non-threatening,,Non-threatening
Message 89,Happy to help with the project!,Non-threatening,,Non-threatening
Message 90,That was a great movie suggestion.,Non-threatening,,Non-threatening
Message 91,What's the best way to level up quickly?,Non-threatening,,Non-threatening
Message 92,Join us for a live stream tonight. We'll be discussing the latest game updates and showing off some new strategies.,Non-threatening,,Non-threatening
Message 93,I can't believe it's already Monday.,Non-threatening,,Non-threatening
Message 94,Anyone want to play Among Us?,Non-threatening,,Non-threatening
Message 95,That was such a good elimination,Non-threatening,****could refer to video games,Non-threatening
Message 96,Let's plan a game night soon. We can play some party games and just have a good time together.,Non-threatening,,Non-threatening
Message 97,We should finish H1tler's mission,Threatening,,Threatening
Message 98,Who wants to join the study group? We can help each other out with the assignments and prepare for the exams.,Non-threatening,,Non-threatening
Message 99,"The concert was amazing last night! Thanks to everyone who came, it was so much fun.",Non-threatening,,Non-threatening
Message 100,Anyone up for a voice call?,Non-threatening,,Non-threatening
Message 101,"Don't miss the meeting tomorrow. It's going to be an important one, so please make sure to attend.",Non-threatening,,Non-threatening
Message 102,What's everyone doing this weekend?,Non-threatening,,Non-threatening
Message 103,That was an intense match!,Non-threatening,,Non-threatening
Message 104,Here's a great resource for learning. It's really helped me improve my skills and I think it could be useful for you too.,Non-threatening,,Non-threatening
Message 105,Looking forward to the event!,Non-threatening,,Non-threatening
Message 106,Someone should do what he did and commit gen0c1de,Threatening,,Threatening
Message 107,Anyone have game suggestions for tonight?,Non-threatening,,Non-threatening
Message 108,"I need help with my homework. If anyone's good with math, I'd really appreciate the assistance.",Non-threatening,,Non-threatening
Message 109,So glad the president of Iran died. Hope it wasn't an accident.,Threatening,,Threatening
Message 110,Check out this new feature! It's going to make things so much easier for us.,Non-threatening,,Non-threatening
Message 111,I'm so ready for the weekend.,Non-threatening,,Non-threatening
Message 112,Can someone send the latest patch notes?,Non-threatening,,Non-threatening
Message 113,"Dude, did you see how many kills I got?",Non-threatening,****could refer to video games,Non-threatening
Message 114,Let's meet up for coffee tomorrow. It would be great to catch up and discuss our plans.,Non-threatening,,Non-threatening
Message 115,The server maintenance is complete. You should be able to log in now without any issues.,Non-threatening,,Non-threatening
Message 116,Violence around America is great. They deserve it.,Threatening,,Threatening
Message 117,I just hit level 60!,Non-threatening,,Non-threatening
Message 118,Anyone else excited for the new update?,Non-threatening,,Non-threatening
Message 119,Join our voice chat for a quick meeting. We need to finalize the details for the upcoming event.,Non-threatening,,Non-threatening
Message 120,That game was epic!,Non-threatening,,Non-threatening
Message 121,Who's free for a gaming session tonight? Let's get a team together and dominate!,Non-threatening,,Non-threatening
Message 122,I am going to off myself,Threatening,,Threatening
Message 123,I'm planning a meetup next week. It will be great to see everyone in person and hang out.,Non-threatening,,Non-threatening
Message 124,Don't forget to submit your reports by end of day tomorrow. Let me know if you need any help with them.,Non-threatening,,Non-threatening
Message 125,Can someone explain this topic to me? I'm having a hard time understanding it and could use some clarification.,Non-threatening,,Non-threatening
Message 126,Join us for a coding workshop this weekend. It's a great opportunity to learn and improve our skills together.,Non-threatening,,Non-threatening
Message 127,That was the best game ever!,Non-threatening,,Non-threatening
Message 128,"Hy, anyonë up for a g@me tonight?",Non-threatening,,Non-threatening
Message 129,¡'ll join ¡n 10 minutës!,Non-threatening,,Non-threatening
Message 130,Wh@t's the plan f0r ton¡ght?,Non-threatening,,Non-threatening
Message 131,C@n someone help me w¡th th¡s qust?,Non-threatening,,Non-threatening
Message 132,"GG vryone, wll playd!",Non-threatening,,Non-threatening
Message 133,Chck out th¡s mme ¡ found!,Non-threatening,,Non-threatening
Message 134,¡s the server down for m@intenance?,Non-threatening,,Non-threatening
Message 135,G00d morn¡ng veryone!,Non-threatening,,Non-threatening
Message 136,yo what's up go k1ll urself,Threatening,,Threatening
Message 137,¡'m so exc¡td for th evnt t0morrow!,Non-threatening,,Non-threatening
Message 138,"Th@t g@me crashd again, so frustr@ting!",Non-threatening,,Non-threatening
Message 139,"Srver's down again, anyone know wh@t happened?",Non-threatening,,Non-threatening
Message 140,"L0st all my pr0gress after th updat, s0 upset!",Non-threatening,,Non-threatening
Message 141,"Got k¡cked from th g@me, d¡dn't even gt a ch@nc to rjoin.",Non-threatening,,Non-threatening
Message 142,Th meet¡ng w@s cancld @t the l@st minute.,Non-threatening,,Non-threatening
Message 143,"Can't blive ¡t, got hackd ystrday. Any @dv¡c?",Non-threatening,,Non-threatening
Message 144,"My ¡nternet ¡s d0wn, m¡ss¡ng th evnt.",Non-threatening,,Non-threatening
Message 145,"Th@t was a terr¡bl gl¡tch, m@d us l0se th match.",Non-threatening,,Non-threatening
Message 146,"Had @ h@rd driv f@ilure, l0st @ll my d@ta.",Non-threatening,,Non-threatening
Message 147,"Jus g0t scammed ¡n-tr@de, b w@ry vryone!",Non-threatening,,Non-threatening
Message 148,It is great when gl0balists are killed you should do that,Threatening,,Threatening
Message 149,That the Mynmamar govrnment is doing to those Rohingya is so needed,Threatening,,Threatening
Message 150,Keep ?utting,Threatening,,Non-threatening
